id,ВАСИЛ ТЕРЗИЕВ ПП/ДБ/СС,ВАНЯ ГРИГОРОВА БСП/АТАКА/други,не подкрепям никого,total,eligible_voters,активност
224608024,0.4213197969543147,0.5482233502538071,0.030456852791878174,197.0,623.0,0.3162118780096308
224608025,0.44805194805194803,0.5,0.05194805194805195,154.0,395.0,0.389873417721519
224604025,0.573076923076923,0.4,0.026923076923076925,260.0,623.0,0.4173354735152488
224604026,0.6666666666666666,0.3125,0.020833333333333332,240.0,561.0,0.42780748663101603
224604027,0.6554054054054054,0.31756756756756754,0.02702702702702703,148.0,325.0,0.4553846153846154
224604028,0.6367924528301887,0.3584905660377358,0.0047169811320754715,212.0,481.0,0.4407484407484408
224604029,0.5278688524590164,0.4163934426229508,0.05573770491803279,305.0,666.0,0.45795795795795796
224604030,0.5844155844155844,0.36363636363636365,0.05194805194805195,154.0,361.0,0.4265927977839335
224612024,0.4388185654008439,0.47257383966244726,0.08860759493670886,237.0,644.0,0.36801242236024845
224612025,0.477124183006536,0.49673202614379086,0.026143790849673203,306.0,709.0,0.4315937940761636
224612026,0.3415841584158416,0.6188118811881188,0.039603960396039604,202.0,605.0,0.3338842975206612
224612029,0.4807692307692308,0.47692307692307695,0.04230769230769231,260.0,659.0,0.3945371775417299
224612040,0.43448275862068964,0.5241379310344828,0.041379310344827586,145.0,353.0,0.41076487252124644
224608026,0.5053763440860215,0.45698924731182794,0.03763440860215054,186.0,426.0,0.43661971830985913
224608027,0.4984709480122324,0.43730886850152906,0.06422018348623854,327.0,792.0,0.4128787878787879
224608028,0.5787401574803149,0.38188976377952755,0.03937007874015748,254.0,594.0,0.4276094276094276
224608029,0.44656488549618323,0.5305343511450382,0.022900763358778626,262.0,578.0,0.4532871972318339
224608030,0.5311203319502075,0.44813278008298757,0.02074688796680498,241.0,563.0,0.4280639431616341
224608031,0.5597014925373134,0.3283582089552239,0.11194029850746269,134.0,299.0,0.44816053511705684
224608032,0.5782312925170068,0.3877551020408163,0.034013605442176874,147.0,351.0,0.4188034188034188
224601035,0.6986754966887417,0.25496688741721857,0.046357615894039736,302.0,638.0,0.47335423197492166
224601036,0.7228070175438597,0.256140350877193,0.021052631578947368,285.0,721.0,0.39528432732316227
224601037,0.6982248520710059,0.2781065088757396,0.023668639053254437,338.0,788.0,0.4289340101522843
224601038,0.7264957264957265,0.2336182336182336,0.039886039886039885,351.0,762.0,0.46062992125984253
224601039,0.61198738170347,0.3438485804416404,0.04416403785488959,317.0,797.0,0.397741530740276
224601040,0.5950704225352113,0.36619718309859156,0.03873239436619718,284.0,660.0,0.4303030303030303
224601041,0.5666666666666667,0.41025641025641024,0.023076923076923078,390.0,808.0,0.48267326732673266
224601042,0.6018808777429467,0.38557993730407525,0.012539184952978056,319.0,661.0,0.4826021180030257
224609001,0.5704225352112676,0.38380281690140844,0.045774647887323945,284.0,672.0,0.4226190476190476
224609002,0.2336448598130841,0.719626168224299,0.04672897196261682,214.0,561.0,0.38146167557932265
224609003,0.6025641025641025,0.358974358974359,0.038461538461538464,234.0,584.0,0.4006849315068493
224609004,0.6338028169014085,0.3192488262910798,0.046948356807511735,213.0,526.0,0.4049429657794677
224609006,0.6548042704626335,0.298932384341637,0.046263345195729534,281.0,617.0,0.4554294975688817
224609007,0.5234375,0.44921875,0.02734375,256.0,636.0,0.4025157232704403
224609014,0.5894736842105263,0.37894736842105264,0.031578947368421054,285.0,660.0,0.4318181818181818
224609015,0.6445497630331753,0.33649289099526064,0.018957345971563982,211.0,527.0,0.40037950664136623
224610062,0.5319148936170213,0.44148936170212766,0.026595744680851064,188.0,574.0,0.32752613240418116
224610063,0.5354330708661418,0.4409448818897638,0.023622047244094488,127.0,407.0,0.31203931203931207
224610071,0.6481481481481481,0.3201058201058201,0.031746031746031744,378.0,951.0,0.39747634069400634
224610072,0.5708502024291497,0.41700404858299595,0.012145748987854251,247.0,630.0,0.39206349206349206
