секция,населено место,гласове април,гласове юли,спад %,ГЕРБ-СДС април,ГЕРБ-СДС юли,ГЕРБ-СДС спад %,ДПС април,ДПС юли,ДПС спад %,БСП април,БСП юли,БСП спад %,ИТН април,ИТН юли,ИТН спад %,МУТРИ ВЪН! април,МУТРИ ВЪН! юли,МУТРИ ВЪН! спад %,ДБ април,ДБ юли,ДБ спад %
020900029,с.Екзарх Антимово,105.0,34.0,67.61904761904762,58.0,7.0,87.93103448275862,1.0,0.0,100.0,11.0,10.0,9.090909090909092,9.0,10.0,-11.11111111111111,0.0,3.0,,0.0,2.0,
020900030,с.Екзарх Антимово,143.0,88.0,38.46153846153847,60.0,20.0,66.66666666666666,0.0,1.0,,34.0,30.0,11.76470588235294,15.0,15.0,0.0,3.0,4.0,-33.33333333333333,1.0,7.0,-600.0
Общо,,248.0,122.0,50.806451612903224,118.0,27.0,77.11864406779661,1.0,1.0,0.0,45.0,40.0,11.11111111111111,24.0,25.0,-4.166666666666666,3.0,7.0,-133.33333333333331,1.0,9.0,-800.0
131900165,с.Драгор,267.0,172.0,35.580524344569284,92.0,45.0,51.08695652173913,4.0,1.0,75.0,40.0,25.0,37.5,72.0,65.0,9.722222222222223,10.0,8.0,20.0,12.0,11.0,8.333333333333332
131900205,с.Драгор,239.0,77.0,67.78242677824268,19.0,9.0,52.63157894736842,162.0,1.0,99.38271604938271,24.0,33.0,-37.5,9.0,26.0,-188.88888888888889,1.0,3.0,-200.0,1.0,1.0,0.0
Общо,,506.0,249.0,50.790513833992094,111.0,54.0,51.35135135135135,166.0,2.0,98.79518072289156,64.0,58.0,9.375,81.0,91.0,-12.345679012345679,11.0,11.0,0.0,13.0,12.0,7.6923076923076925
132900027,с.Семчиново,416.0,314.0,24.519230769230766,92.0,79.0,14.130434782608695,30.0,3.0,90.0,111.0,69.0,37.83783783783784,87.0,110.0,-26.436781609195403,18.0,8.0,55.55555555555556,12.0,10.0,16.666666666666664
132900028,с.Семчиново,534.0,155.0,70.97378277153558,6.0,3.0,50.0,436.0,93.0,78.6697247706422,41.0,33.0,19.51219512195122,30.0,19.0,36.666666666666664,3.0,4.0,-33.33333333333333,0.0,0.0,
Общо,,950.0,469.0,50.63157894736842,98.0,82.0,16.3265306122449,466.0,96.0,79.39914163090128,152.0,102.0,32.89473684210527,117.0,129.0,-10.256410256410255,21.0,12.0,42.857142857142854,12.0,10.0,16.666666666666664
283500055,с.Буйново,192.0,96.0,50.0,16.0,9.0,43.75,129.0,47.0,63.565891472868216,35.0,26.0,25.71428571428571,1.0,3.0,-200.0,3.0,4.0,-33.33333333333333,0.0,1.0,
Общо,,192.0,96.0,50.0,16.0,9.0,43.75,129.0,47.0,63.565891472868216,35.0,26.0,25.71428571428571,1.0,3.0,-200.0,3.0,4.0,-33.33333333333333,0.0,1.0,
270400010,с.Оризово,247.0,157.0,36.43724696356275,55.0,48.0,12.727272727272727,71.0,12.0,83.09859154929578,60.0,42.0,30.0,22.0,26.0,-18.181818181818183,4.0,11.0,-175.0,4.0,5.0,-25.0
270400011,,,124.0,,,25.0,,,50.0,,,19.0,,,16.0,,,1.0,,,0.0,
270400025,с.Оризово,309.0,,,31.0,,,236.0,,,15.0,,,8.0,,,2.0,,,0.0,,
Общо,,556.0,281.0,49.460431654676256,86.0,73.0,15.11627906976744,307.0,62.0,79.80456026058633,75.0,61.0,18.666666666666668,30.0,42.0,-40.0,6.0,12.0,-100.0,4.0,5.0,-25.0
081500031,с.Ловчанци,221.0,112.0,49.321266968325794,10.0,11.0,-10.0,102.0,8.0,92.15686274509804,65.0,68.0,-4.615384615384616,15.0,8.0,46.666666666666664,7.0,9.0,-28.57142857142857,5.0,4.0,20.0
Общо,,221.0,112.0,49.321266968325794,10.0,11.0,-10.0,102.0,8.0,92.15686274509804,65.0,68.0,-4.615384615384616,15.0,8.0,46.666666666666664,7.0,9.0,-28.57142857142857,5.0,4.0,20.0
113300008,с.Глогово,407.0,253.0,37.83783783783784,162.0,81.0,50.0,166.0,52.0,68.67469879518072,25.0,28.0,-12.0,24.0,45.0,-87.5,6.0,26.0,-333.33333333333337,7.0,7.0,0.0
113300009,с.Глогово,490.0,203.0,58.57142857142858,129.0,39.0,69.76744186046511,237.0,62.0,73.83966244725738,49.0,30.0,38.775510204081634,5.0,39.0,-680.0,1.0,4.0,-300.0,5.0,6.0,-20.0
Общо,,897.0,456.0,49.163879598662206,291.0,120.0,58.76288659793815,403.0,114.0,71.712158808933,74.0,58.0,21.62162162162162,29.0,84.0,-189.6551724137931,7.0,30.0,-328.57142857142856,12.0,13.0,-8.333333333333332
015200007,с.Беслен,219.0,112.0,48.858447488584474,97.0,30.0,69.0721649484536,72.0,28.0,61.111111111111114,12.0,16.0,-33.33333333333333,17.0,27.0,-58.82352941176471,1.0,3.0,-200.0,1.0,2.0,-100.0
Общо,,219.0,112.0,48.858447488584474,97.0,30.0,69.0721649484536,72.0,28.0,61.111111111111114,12.0,16.0,-33.33333333333333,17.0,27.0,-58.82352941176471,1.0,3.0,-200.0,1.0,2.0,-100.0
212000174,с.Тополчане,301.0,81.0,73.08970099667775,141.0,16.0,88.65248226950354,120.0,19.0,84.16666666666667,20.0,14.0,30.0,5.0,6.0,-20.0,3.0,5.0,-66.66666666666666,2.0,5.0,-150.0
