id,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,РЕПУБЛИКА БГ,ЗЕЛЕНИТЕ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА СИЛА,БНС-НД,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
2066,13,8,0,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,31.0,34.0,45,1
2083,62,70,1,8,32,13,5,9,2,0,1,3,0,0,4,1,1,0,0,1,2.0,1,0,0.0,0,0.0,0,14,216.0,230.0,419,1
2097,125,70,0,5,19,11,11,20,1,1,4,0,0,3,0,1,0,0,0,0,0.0,1,0,0.0,2,0.0,0,15,274.0,289.0,429,1
2107,30,16,275,0,0,1,2,1,14,0,0,0,1,0,0,1,0,0,0,0,0.0,0,1,0.0,0,0.0,0,58,342.0,400.0,624,1
2138,124,91,5,9,10,25,31,8,2,0,0,2,1,0,2,4,0,0,1,0,0.0,0,1,0.0,1,0.0,0,13,317.0,330.0,607,1
2141,9,2,69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,82.0,82.0,332,1
2155,6,3,131,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,2,142.0,144.0,366,1
2172,6,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,21.0,24.0,25,1
2227,32,77,32,2,13,23,19,6,0,0,2,0,0,1,1,0,1,0,0,1,1.0,0,0,1.0,0,0.0,0,22,212.0,234.0,413,1
2230,10,19,3,3,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,47.0,48.0,62,1
2244,4,5,147,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,1.0,0,0.0,0,4,163.0,167.0,383,1
2258,44,28,7,5,13,11,2,7,1,0,0,0,2,0,0,0,2,1,0,1,0.0,0,0,1.0,0,0.0,0,15,125.0,140.0,263,1
2261,10,0,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,80.0,80.0,139,1
