municipality_name,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,невалидни,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Провадия,1633,806,1007,622,704,162,205,195,177.0,72,51,28,15,50.0,15,9,12,28,9,8,7,13,7,19,15,11,10,5,2,14,6.0,18942.0,3,03. ВАРНА,46,5917.0,0.312374617252666,VAR24
Първомай,1520,1035,774,844,945,235,435,155,244.0,35,28,28,20,12.0,18,15,11,23,18,15,8,9,8,15,22,6,7,3,4,4,0.0,21945.0,17,17. ПЛОВДИВ област,40,6496.0,0.2960127591706539,PDV23
Раднево,1157,1141,221,765,768,180,258,289,230.0,43,22,17,22,30.0,29,20,16,7,17,14,4,4,4,11,9,16,11,4,2,4,0.0,15442.0,27,27. СТАРА ЗАГОРА,38,5315.0,0.34419116694728663,SZR27
Радомир,2135,1194,139,571,581,199,197,233,184.0,81,34,20,13,61.0,33,7,16,14,12,15,30,11,5,10,6,5,2,1,7,4,0.0,15926.0,14,14. ПЕРНИК,50,5820.0,0.3654401607434384,PER36
Разград,3263,2249,2454,1236,1695,1440,642,500,587.0,113,66,43,43,30.0,56,35,19,50,40,25,21,19,20,27,26,13,13,10,17,7,0.0,49884.0,18,18. РАЗГРАД,72,14759.0,0.29586641007136555,RAZ26
Разлог,1916,1654,801,534,891,736,726,323,237.0,63,94,31,21,2.0,8,24,11,33,11,18,7,22,12,18,4,4,0,6,6,6,0.0,17059.0,1,01. БЛАГОЕВГРАД,29,8219.0,0.4817984641538191,BLG37
Ракитово,610,299,1931,222,447,54,110,90,81.0,16,19,15,9,0.0,6,5,4,34,5,8,5,15,8,11,9,6,6,8,2,7,0.0,12772.0,13,13. ПАЗАРДЖИК,16,4042.0,0.31647353585969307,PAZ24
Раковски,2396,980,68,660,589,180,183,204,207.0,40,52,15,14,8.0,16,12,6,12,13,16,6,9,11,22,22,8,9,3,3,8,0.0,22240.0,17,17. ПЛОВДИВ област,34,5772.0,0.25953237410071944,PDV25
Рила,269,129,65,47,109,34,82,26,41.0,9,6,2,2,10.0,6,0,0,1,2,4,2,1,2,0,3,2,2,0,0,2,0.0,2365.0,10,10. КЮСТЕНДИЛ,8,858.0,0.3627906976744186,KNL38
Родопи,2900,1999,588,1102,885,454,512,408,432.0,88,47,28,40,6.0,42,21,15,14,22,13,29,12,11,30,27,6,17,4,3,2,0.0,27667.0,17,17. ПЛОВДИВ област,56,9757.0,0.35265840170600354,PDV26
Роман,483,238,431,140,227,76,95,57,50.0,16,33,2,3,29.0,12,3,2,9,2,6,1,3,2,7,3,1,2,2,0,4,0.0,4655.0,6,06. ВРАЦА,18,1939.0,0.41654135338345866,VRC32
Рудозем,600,529,1868,134,185,94,82,85,138.0,17,13,8,13,33.0,6,0,2,9,12,6,0,6,2,10,1,2,5,3,3,4,0.0,8374.0,22,22. СМОЛЯН,25,3870.0,0.46214473369954623,SML27
Руен,693,277,12002,73,189,59,78,42,90.0,9,6,11,12,1.0,4,9,5,69,5,2,5,6,10,15,10,2,1,6,2,12,0.0,27716.0,2,02. БУРГАС,49,13705.0,0.49447972290373793,BGS18
Ружинци,669,157,353,47,99,78,25,32,17.0,16,6,3,2,22.0,6,3,0,6,5,2,0,3,3,5,7,1,2,1,5,1,0.0,3043.0,5,05. ВИДИН,13,1576.0,0.517909957279001,VID33
