id,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ИТН,ДПС-Доган,МЕЧ,ВЕЛИЧИЕ,не подкрепям никого,СИНЯ БЪЛГАРИЯ,БВ,РУСОФИЛИ ЗА БГ,ПРЯКА ДЕМОКРАЦИЯ,ГЛАС НАРОДЕН,"РБ, ССД и ЗС",ЗЕЛЕНИТЕ,АТАКА,МОЯ СТРАНА БЪЛГАРИЯ,НП ИСИ,ПРАВОТО,БНС-НД,Чавдар Попов (нез.),КОЙ,ДОСТ,Булгари,БСДД,СПБП,БТР,БРИГАДА,невалидни,total_valid,total,eligible_voters,n_stations
43966,27.0,6.0,21.0,0.0,14.0,5.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,83.0,86.0,160,1
43983,16.0,3.0,3.0,5.0,2.0,10.0,57.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,102.0,105.0,177,1
43997,9.0,6.0,14.0,62.0,42.0,4.0,8.0,6.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13,166.0,179.0,689,1
44029,51.0,12.0,16.0,194.0,15.0,7.0,8.0,10.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,14,327.0,341.0,612,1
44032,32.0,9.0,18.0,5.0,19.0,6.0,0.0,6.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,109.0,110.0,181,1
44046,51.0,1.0,6.0,22.0,2.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,98.0,99.0,233,1
44053,81.0,18.0,41.0,21.0,16.0,9.0,0.0,13.0,8.0,13.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6,235.0,241.0,778,1
44063,687.0,387.0,264.0,18.0,100.0,135.0,12.0,131.0,70.0,92.0,31.0,8.0,5.0,12.0,12.0,0.0,7.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,26,1996.0,2022.0,4975,7
44077,69.0,8.0,23.0,2.0,16.0,4.0,0.0,9.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12,142.0,154.0,298,1
44080,3.0,2.0,4.0,10.0,2.0,3.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,108.0,108.0,138,1
