id,БСП,ГЕРБ-СДС,ВЪЗР,ИТН,НП ИСИ,АТАКА (к.),БНО,ЗАЕДНО,БНС-НД,НДСВ,КОД,ПП/ДБ,ДПС,ЛЕВИЦАТА,БВ,МИР,ЕВРОЛЕВИЦА,БСДД,ГЛАС НАРОДЕН,СПБП,ВЪН ОТ ЕС,независими,не подкрепям никого,total,eligible_voters,активност
39459,0.08296943231441048,0.2576419213973799,0.3056768558951965,0.048034934497816595,0.0,0.008733624454148471,0.0,0.004366812227074236,0.0,0.0,0.0,0.1615720524017467,0.0,0.03056768558951965,0.034934497816593885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06550218340611354,229.0,618,0.3705501618122977
39462,0.25,0.36363636363636365,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.022727272727272728,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,44.0,64,0.6875
39483,0.1717171717171717,0.3838383838383838,0.10101010101010101,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.08080808080808081,0.16161616161616163,0.030303030303030304,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,99.0,289,0.34256055363321797
39493,0.13541666666666666,0.2708333333333333,0.2708333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.010416666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,96.0,214,0.4485981308411215
39503,0.14492753623188406,0.37681159420289856,0.17391304347826086,0.021739130434782608,0.021739130434782608,0.007246376811594203,0.0,0.0,0.0,0.0,0.007246376811594203,0.14492753623188406,0.050724637681159424,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,138.0,224,0.6160714285714286
39517,0.0625,0.125,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.1875,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,16.0,37,0.43243243243243246
39520,0.15350877192982457,0.2149122807017544,0.17105263157894737,0.05263157894736842,0.0,0.0,0.0,0.0,0.0043859649122807015,0.013157894736842105,0.0043859649122807015,0.25877192982456143,0.013157894736842105,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07456140350877193,228.0,514,0.44357976653696496
39534,0.22641509433962265,0.33962264150943394,0.07547169811320754,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16981132075471697,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,53.0,159,0.3333333333333333
39548,0.08,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.08,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,50.0,101,0.49504950495049505
39551,0.0975609756097561,0.4878048780487805,0.0975609756097561,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.0,0.07317073170731707,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,57,0.7192982456140351
