municipality_name,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,невалидни,ВЪЗР,ВОЛЯ И НФСБ,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,ПРЯКА ДЕМОКРАЦИЯ,БСДД,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Бяла (Русе),1528,1029,1167,344,150,199,98,101,210,118,116,70,22,32,44,15,27,4,10,8,7,3,1,9,13,2,4,7,4,3,2,0,0.0,11918,19,19. РУСЕ,27,5347.0,0.4486491021983554,RSE04
Бяла Слатина,5681,1555,1251,1565,266,327,145,161,304,117,163,122,518,31,64,18,35,14,26,1,6,11,3,8,19,7,15,7,5,12,2,3,0.0,20829,6,06. ВРАЦА,47,12462.0,0.5983004464928705,VRC08
Варна,35059,30737,15039,4073,15931,8730,7953,4170,2466,5475,6684,2314,1259,780,616,1125,609,542,464,314,162,204,184,109,135,190,112,111,124,69,47,41,0.0,295087,3,03. ВАРНА,417,145828.0,0.49418646026426105,VAR06
Велики Преслав,1000,754,771,947,125,138,98,73,150,65,475,58,29,27,15,7,11,2,5,4,3,4,5,6,5,2,1,5,1,6,5,1,0.0,12165,30,30. ШУМЕН,24,4798.0,0.39441019317714754,SHU23
Велико Търново,8927,7752,6009,1623,3197,1790,1689,853,757,1120,753,670,343,186,168,155,149,70,118,46,56,11,23,28,20,33,18,22,19,13,19,7,0.0,72639,4,04. ВЕЛИКО ТЪРНОВО,148,36644.0,0.5044672971819546,VTR04
Велинград,6573,1397,1445,2837,526,328,231,1982,479,179,189,135,87,71,29,21,26,16,11,11,6,14,17,9,8,8,11,7,2,5,4,9,0.0,30796,13,13. ПАЗАРДЖИК,53,16673.0,0.5414014807117807,PAZ08
Венец,1558,60,109,2142,3,19,6,6,180,1,41,31,4,2,1,8,1,9,7,1,2,3,0,3,0,1,4,0,0,4,2,0,0.0,10749,30,30. ШУМЕН,16,4208.0,0.3914782770490278,SHU07
Ветово,334,389,556,3015,61,67,81,76,195,38,45,40,30,9,12,10,6,9,5,2,2,4,2,6,2,0,0,2,0,3,1,0,0.0,12443,19,19. РУСЕ,23,5002.0,0.4019930884834847,RSE05
Ветрино,958,264,354,441,32,59,99,72,116,41,65,28,5,9,12,12,6,2,3,10,1,43,0,0,4,0,2,1,4,2,1,0,0.0,4825,3,03. ВАРНА,13,2646.0,0.5483937823834197,VAR08
Видин,7120,4221,4662,1213,1327,904,519,600,561,512,438,468,961,139,186,73,95,23,59,22,42,19,33,85,22,14,47,18,14,81,11,4,0.0,57536,5,05. ВИДИН,126,24493.0,0.4256986929922136,VID09
Враца,8771,6492,4647,1574,2056,1415,1425,1135,614,725,405,473,197,134,173,124,134,56,66,28,37,68,33,29,18,18,29,35,40,38,9,7,0.0,66348,6,06. ВРАЦА,116,31005.0,0.46730873575691806,VRC10
Вълчедръм,1529,293,505,1107,34,86,252,61,130,46,51,36,408,5,27,5,13,4,3,0,4,3,0,2,4,1,7,3,1,5,7,0,0.0,7369,12,12. МОНТАНА,22,4632.0,0.6285791830641878,MON11
Вълчи дол,2154,363,587,437,55,77,163,30,269,61,144,47,134,10,22,23,5,5,6,7,3,4,2,4,1,4,6,2,2,4,1,1,0.0,8142,3,03. ВАРНА,26,4633.0,0.5690248096290837,VAR09
Върбица,614,121,241,3397,18,29,5,14,166,3,13,18,14,3,9,16,3,8,3,2,3,1,0,3,0,1,3,2,1,3,0,2,0.0,10789,30,30. ШУМЕН,21,4716.0,0.4371118732041894,SHU10
