id,ПП ДРОМ,БЪЛГАРСКА ПРОЛЕТ,ДНБ,ДСБ (коалиция),КОАЛИЦИЯ НА НЕДОВОЛНИТЕ,ВОЛЯ,БДЦ,АБВ/Движение 21,ДПС,БСП,ГЕРБ,Партия на ЗЕЛЕНИТЕ,ДОСТ,ВЪЗР,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,"Зелените, ДЕОС",ОБЕДИНЕНИ ПАТРИОТИ,КОЙ,НРП,БНО,РБ-ГЛАС НАРОДЕН,независими1,независими2,не подкрепям никого,total,eligible_voters,активност
44046,0.0,0.006493506493506494,0.0,0.0,0.0,0.03896103896103896,0.0,0.006493506493506494,0.13636363636363635,0.4025974025974026,0.2987012987012987,0.0,0.032467532467532464,0.006493506493506494,0.0,0.0,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,154.0,296,0.5202702702702703
44053,0.006521739130434782,0.004347826086956522,0.002173913043478261,0.002173913043478261,0.010869565217391304,0.010869565217391304,0.0,0.002173913043478261,0.013043478260869565,0.3521739130434783,0.4434782608695652,0.0,0.0,0.013043478260869565,0.0,0.002173913043478261,0.10652173913043478,0.002173913043478261,0.0,0.002173913043478261,0.015217391304347827,0.0,0.0,0.010869565217391304,460.0,849,0.541813898704358
44063,0.0,0.005411255411255411,0.001443001443001443,0.03391053391053391,0.0021645021645021645,0.05266955266955267,0.00036075036075036075,0.013347763347763348,0.0025252525252525255,0.2124819624819625,0.41955266955266957,0.004329004329004329,0.0010822510822510823,0.009018759018759018,0.0,0.04040404040404041,0.12554112554112554,0.00036075036075036075,0.0007215007215007215,0.002886002886002886,0.024891774891774892,0.005411255411255411,0.0,0.04148629148629149,2772.0,4888,0.5671031096563012
44077,0.004329004329004329,0.0,0.0,0.008658008658008658,0.0,0.017316017316017316,0.004329004329004329,0.004329004329004329,0.0,0.2597402597402597,0.49783549783549785,0.004329004329004329,0.0,0.004329004329004329,0.0,0.0,0.1774891774891775,0.004329004329004329,0.004329004329004329,0.0,0.004329004329004329,0.0,0.0,0.004329004329004329,231.0,331,0.6978851963746223
44080,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.009433962264150943,0.2169811320754717,0.4811320754716981,0.25471698113207547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.018867924528301886,106.0,179,0.5921787709497207
44094,0.0,0.0064516129032258064,0.0,0.00967741935483871,0.0,0.01935483870967742,0.0064516129032258064,0.012903225806451613,0.0032258064516129032,0.23225806451612904,0.4774193548387097,0.0032258064516129032,0.0,0.0064516129032258064,0.0,0.04838709677419355,0.12580645161290321,0.0,0.0,0.0032258064516129032,0.00967741935483871,0.0,0.0,0.035483870967741936,310.0,489,0.6339468302658486
44104,0.0,0.00625,0.0,0.00625,0.0,0.0375,0.0,0.0,0.45,0.18125,0.2,0.0,0.0625,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,160.0,737,0.21709633649932158
44118,0.01098901098901099,0.0,0.0,0.016483516483516484,0.005494505494505495,0.01098901098901099,0.0,0.0,0.016483516483516484,0.45604395604395603,0.3791208791208791,0.0,0.0,0.0,0.0,0.0,0.08241758241758242,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.016483516483516484,182.0,460,0.39565217391304347
44121,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.22,0.36,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.12,0.0,0.0,0.0,50.0,70,0.7142857142857143
44152,0.0,0.0,0.0,0.013605442176870748,0.006802721088435374,0.04081632653061224,0.0,0.1360544217687075,0.0,0.40816326530612246,0.1836734693877551,0.0,0.0,0.006802721088435374,0.0,0.0,0.1836734693877551,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.013605442176870748,147.0,213,0.6901408450704225
