id,ВМРО,"НИЕ, ГРАЖДАНИТЕ ",БНС,БСП,ВЪЗР,АБВ,АТАКА,КОД,ДПС,БПЛ,ДБ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ЗАЕДНО,БНО,НАЦИЯ,МИР,Граждани от Протеста,МУТРИ ВЪН!,ГЛАС НАРОДЕН,ДНК,РЕПУБЛИКАНЦИ ЗА БГ,ПРАВОТО,БОГ,ВОЛЯ И НФСБ,Партия на ЗЕЛЕНИТЕ,ОБЩЕСТВО,БСДД,ГЕРБ-СДС,ИТН,ПРЯКА ДЕМОКРАЦИЯ,31,npn,total,eligible_voters,activity
53179,0.03566333808844508,0.0,0.0,0.18972895863052783,0.03281027104136947,0.0014265335235378032,0.008559201141226819,0.0,0.008559201141226819,0.0028530670470756064,0.034236804564907276,0.0028530670470756064,0.0028530670470756064,0.037089871611982884,0.0,0.0,0.0,0.047075606276747506,0.0042796005706134095,0.0042796005706134095,0.0,0.0028530670470756064,0.0,0.014265335235378032,0.0028530670470756064,0.0014265335235378032,0.0028530670470756064,0.2653352353780314,0.2810271041369472,0.0,0.0,0.017118402282453638,701.0,1424,0.4922752808988764
53182,0.03636363636363636,0.0,0.0,0.32727272727272727,0.0,0.0,0.0,0.0,0.12727272727272726,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.0,0.01818181818181818,0.01818181818181818,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.2,0.09090909090909091,0.0,0.0,0.01818181818181818,55.0,85,0.6470588235294118
53196,0.10569105691056911,0.0,0.0040650406504065045,0.31910569105691056,0.0020325203252032522,0.0,0.016260162601626018,0.0040650406504065045,0.044715447154471545,0.0,0.014227642276422764,0.008130081300813009,0.0020325203252032522,0.018292682926829267,0.0,0.0,0.0020325203252032522,0.03048780487804878,0.0,0.0040650406504065045,0.0,0.0,0.0,0.016260162601626018,0.0,0.0020325203252032522,0.0020325203252032522,0.2073170731707317,0.18699186991869918,0.0,0.0,0.01016260162601626,492.0,1194,0.4120603015075377
53206,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.94375,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,160.0,720,0.2222222222222222
53210,0.010050251256281407,0.0,0.005025125628140704,0.22110552763819097,0.01507537688442211,0.0,0.005025125628140704,0.0,0.20100502512562815,0.005025125628140704,0.05527638190954774,0.0,0.0,0.02512562814070352,0.0,0.0,0.0,0.035175879396984924,0.0,0.0,0.08040201005025126,0.0,0.0,0.020100502512562814,0.0,0.0,0.0,0.1306532663316583,0.18090452261306533,0.0,0.0,0.010050251256281407,199.0,483,0.41200828157349895
53223,0.0,0.0,0.0,0.01084010840108401,0.0027100271002710027,0.0027100271002710027,0.0,0.0,0.7859078590785907,0.0,0.0,0.0,0.0,0.005420054200542005,0.0,0.0027100271002710027,0.0,0.0027100271002710027,0.0,0.0,0.005420054200542005,0.0,0.0,0.0027100271002710027,0.0,0.0,0.0027100271002710027,0.14634146341463414,0.02710027100271003,0.0,0.0,0.0027100271002710027,369.0,661,0.5582450832072617
53237,0.061224489795918366,0.0,0.0,0.1836734693877551,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.5306122448979592,0.061224489795918366,0.02040816326530612,0.0,0.0,49.0,92,0.532608695652174
53240,0.04838709677419355,0.0,0.016129032258064516,0.22580645161290322,0.04838709677419355,0.0,0.016129032258064516,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.3709677419354839,0.16129032258064516,0.0,0.0,0.0,62.0,90,0.6888888888888889
53254,0.055666003976143144,0.0,0.0,0.13717693836978131,0.009940357852882704,0.0019880715705765406,0.003976143141153081,0.007952286282306162,0.0019880715705765406,0.0,0.033797216699801194,0.003976143141153081,0.0,0.02385685884691849,0.0,0.0,0.0,0.055666003976143144,0.0,0.0,0.05765407554671968,0.0,0.0,0.007952286282306162,0.0,0.003976143141153081,0.0,0.3658051689860835,0.21669980119284293,0.0019880715705765406,0.0,0.009940357852882704,503.0,838,0.6002386634844868
53271,0.0,0.0,0.0,0.0392156862745098,0.0,0.0196078431372549,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0,51.0,210,0.24285714285714285
53285,0.019801980198019802,0.0,0.0,0.17326732673267325,0.019801980198019802,0.0024752475247524753,0.0049504950495049506,0.0024752475247524753,0.19306930693069307,0.0,0.0049504950495049506,0.0049504950495049506,0.0024752475247524753,0.009900990099009901,0.0,0.0,0.0,0.012376237623762377,0.0,0.0,0.012376237623762377,0.0,0.0024752475247524753,0.017326732673267328,0.0049504950495049506,0.007425742574257425,0.0,0.38613861386138615,0.10396039603960396,0.0,0.0,0.01485148514851485,404.0,756,0.5343915343915344
53299,0.011904761904761904,0.0,0.0,0.39285714285714285,0.03571428571428571,0.05357142857142857,0.005952380952380952,0.0,0.005952380952380952,0.0,0.011904761904761904,0.0,0.005952380952380952,0.005952380952380952,0.0,0.0,0.0,0.011904761904761904,0.0,0.011904761904761904,0.023809523809523808,0.0,0.005952380952380952,0.02976190476190476,0.0,0.0,0.0,0.24404761904761904,0.14285714285714285,0.0,0.0,0.0,168.0,354,0.4745762711864407
53309,0.01098901098901099,0.0,0.0,0.08791208791208792,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.02197802197802198,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626373626373626,0.04395604395604396,0.0,0.0,0.0,91.0,142,0.6408450704225352
53312,0.022727272727272728,0.0,0.0,0.20454545454545456,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.4090909090909091,0.06818181818181818,0.0,0.0,0.0,44.0,89,0.4943820224719101
53326,0.01394169835234474,0.0012674271229404308,0.0,0.10012674271229405,0.0012674271229404308,0.0025348542458808617,0.0038022813688212928,0.0,0.2522179974651457,0.0012674271229404308,0.011406844106463879,0.0063371356147021544,0.0,0.017743979721166033,0.0012674271229404308,0.0012674271229404308,0.0,0.011406844106463879,0.0012674271229404308,0.0025348542458808617,0.022813688212927757,0.0,0.0,0.010139416983523447,0.0025348542458808617,0.0012674271229404308,0.0012674271229404308,0.42458808618504434,0.09252217997465145,0.0,0.0,0.015209125475285171,789.0,1373,0.5746540422432629
53335,0.03443708609271523,0.0013245033112582781,0.0,0.13245033112582782,0.017218543046357615,0.0013245033112582781,0.009271523178807948,0.007947019867549669,0.04370860927152318,0.0013245033112582781,0.02913907284768212,0.003973509933774834,0.0013245033112582781,0.010596026490066225,0.0026490066225165563,0.0013245033112582781,0.0,0.033112582781456956,0.0026490066225165563,0.006622516556291391,0.006622516556291391,0.0,0.0013245033112582781,0.022516556291390728,0.0,0.0,0.0026490066225165563,0.33642384105960266,0.280794701986755,0.0013245033112582781,0.0,0.007947019867549669,755.0,2007,0.3761833582461385
