id,ДПС,БСДД,БНО,НДЕ,ВМРО,КСБ,ПД,НФСБ,ПП,МИР,КОД,БТР,КТБ,ВЪЗР,БВ,БНС,ИЗПРАВИ СЕ,ДНК,ИТН,ГЛАС НАРОДЕН,ПРАВОТО,НП ИСИ,ГЕРБ-СДС,ДБ,ЕВРОЛЕВИЦА,АТАКА,БСП,РВО,независим,npn,total,eligible_voters,activity
48862,0.6588235294117647,0.011764705882352941,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.011764705882352941,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.1411764705882353,0.011764705882352941,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,85.0,317.0,0.26813880126182965
48876,0.13800904977375567,0.006787330316742082,0.004524886877828055,0.0022624434389140274,0.00904977375565611,0.0022624434389140274,0.0,0.006787330316742082,0.16063348416289594,0.0,0.0022624434389140274,0.0022624434389140274,0.006787330316742082,0.09049773755656108,0.06787330316742081,0.0,0.020361990950226245,0.004524886877828055,0.06561085972850679,0.0022624434389140274,0.0,0.0,0.251131221719457,0.01809954751131222,0.0,0.013574660633484163,0.06787330316742081,0.01809954751131222,0.0,0.038461538461538464,442.0,1577.0,0.280279010779962
48903,0.003194888178913738,0.0,0.0,0.006389776357827476,0.006389776357827476,0.003194888178913738,0.006389776357827476,0.0,0.15654952076677317,0.009584664536741214,0.0,0.003194888178913738,0.012779552715654952,0.134185303514377,0.05750798722044728,0.0,0.006389776357827476,0.0,0.06070287539936102,0.0,0.0,0.003194888178913738,0.3865814696485623,0.01597444089456869,0.006389776357827476,0.0,0.08306709265175719,0.006389776357827476,0.0,0.03194888178913738,313.0,756.0,0.414021164021164
48920,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.088,0.0,0.0,0.0,0.0,0.008,0.032,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.08,0.008,0.0,0.0,0.024,0.0,0.0,0.016,125.0,230.0,0.5434782608695652
48948,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.005681818181818182,0.1534090909090909,0.0,0.0,0.0,0.005681818181818182,0.11363636363636363,0.005681818181818182,0.0,0.005681818181818182,0.0,0.028409090909090908,0.0,0.0,0.005681818181818182,0.3352272727272727,0.056818181818181816,0.0,0.0,0.26136363636363635,0.0,0.0,0.011363636363636364,176.0,574.0,0.30662020905923343
48951,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0,0.11290322580645161,0.06451612903225806,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.27419354838709675,0.03225806451612903,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,62.0,90.0,0.6888888888888889
48965,0.6240601503759399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03759398496240601,0.0,0.0,0.0,0.0,0.03007518796992481,0.045112781954887216,0.0,0.0,0.0,0.015037593984962405,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.007518796992481203,0.08270676691729323,0.0,0.0,0.015037593984962405,133.0,402.0,0.3308457711442786
48979,0.0,0.011049723756906077,0.0,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.14917127071823205,0.0,0.0,0.0,0.0,0.06629834254143646,0.17679558011049723,0.0,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0,0.0,0.46408839779005523,0.0055248618784530384,0.0,0.0055248618784530384,0.0718232044198895,0.0,0.0,0.0055248618784530384,181.0,460.0,0.3934782608695652
48982,0.031746031746031744,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.15873015873015872,0.0,0.0,0.0,0.0,0.25396825396825395,0.015873015873015872,0.0,0.047619047619047616,0.015873015873015872,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,63.0,104.0,0.6057692307692307
48996,0.6965275751386052,0.006419608987452583,0.0002918004085205719,0.0005836008170411438,0.0002918004085205719,0.0008754012255617158,0.0029180040852057193,0.0005836008170411438,0.06740589436825212,0.0008754012255617158,0.0005836008170411438,0.0008754012255617158,0.0005836008170411438,0.014006419608987453,0.006419608987452583,0.0002918004085205719,0.0046688065363291505,0.0008754012255617158,0.025094835132769187,0.0002918004085205719,0.0005836008170411438,0.0002918004085205719,0.1132185585059819,0.015757222060110883,0.0014590020426028597,0.0008754012255617158,0.02421943390720747,0.0002918004085205719,0.0,0.012839217974905165,3427.0,14964.0,0.22901630580058807
