id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,невалидни,total,eligible_voters,активност
81270,0.3333333333333333,0.45098039215686275,0.0196078431372549,0.06862745098039216,0.049019607843137254,0.00980392156862745,0.00980392156862745,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,102.0,331,0.3081570996978852
81284,0.3055555555555556,0.16666666666666666,0.027777777777777776,0.19444444444444445,0.16666666666666666,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,36.0,84,0.42857142857142855
81308,0.17073170731707318,0.0,0.12195121951219512,0.24390243902439024,0.21951219512195122,0.07317073170731707,0.0,0.0,0.07317073170731707,0.04878048780487805,0.0,0.024390243902439025,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,41.0,61,0.6721311475409836
81325,0.08695652173913043,0.043478260869565216,0.21739130434782608,0.17391304347826086,0.391304347826087,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,23.0,26,0.8846153846153846
81342,0.32,0.01,0.11,0.17,0.08,0.055,0.04,0.02,0.06,0.045,0.015,0.0,0.005,0.01,0.005,0.0,0.025,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,200.0,1430,0.13986013986013987
81356,0.5223880597014925,0.014925373134328358,0.05970149253731343,0.13432835820895522,0.08955223880597014,0.04477611940298507,0.014925373134328358,0.014925373134328358,0.05970149253731343,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05970149253731343,67.0,164,0.40853658536585363
81362,0.035856573705179286,0.8725099601593626,0.00796812749003984,0.01195219123505976,0.01195219123505976,0.0199203187250996,0.00398406374501992,0.00398406374501992,0.00796812749003984,0.0,0.0,0.00398406374501992,0.0,0.0,0.0,0.0,0.0,0.00796812749003984,0.0,0.00398406374501992,0.0,0.0,0.00398406374501992,0.0,0.0,0.00398406374501992,0.0,0.0,0.0,0.0,0.0,0.0,0.03187250996015936,251.0,580,0.43275862068965515
81373,0.3023255813953488,0.27906976744186046,0.023255813953488372,0.08139534883720931,0.10465116279069768,0.046511627906976744,0.03488372093023256,0.011627906976744186,0.08139534883720931,0.023255813953488372,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,86.0,339,0.2536873156342183
81387,0.7375886524822695,0.02127659574468085,0.01773049645390071,0.0425531914893617,0.028368794326241134,0.01773049645390071,0.010638297872340425,0.010638297872340425,0.0425531914893617,0.028368794326241134,0.010638297872340425,0.0070921985815602835,0.0035460992907801418,0.0,0.0,0.0070921985815602835,0.0,0.0035460992907801418,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,282.0,1009,0.2794846382556987
81390,0.4022503516174402,0.011251758087201125,0.06469760900140648,0.2250351617440225,0.06047819971870605,0.03234880450070324,0.03375527426160337,0.06891701828410689,0.01969057665260197,0.009845288326300985,0.0028129395218002813,0.007032348804500703,0.009845288326300985,0.007032348804500703,0.012658227848101266,0.0,0.0028129395218002813,0.008438818565400843,0.004219409282700422,0.0014064697609001407,0.0014064697609001407,0.0014064697609001407,0.0014064697609001407,0.0028129395218002813,0.0,0.0028129395218002813,0.0,0.0014064697609001407,0.0,0.0014064697609001407,0.0014064697609001407,0.0014064697609001407,0.04360056258790436,711.0,1484,0.47911051212938005
81400,0.38181818181818183,0.03636363636363636,0.23030303030303031,0.07878787878787878,0.06666666666666667,0.06666666666666667,0.030303030303030304,0.024242424242424242,0.024242424242424242,0.030303030303030304,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.05454545454545454,165.0,512,0.322265625
81414,0.16279069767441862,0.3075858250276855,0.08028792912513842,0.1406423034330011,0.0650609080841639,0.050387596899224806,0.0517718715393134,0.023255813953488372,0.035160575858250276,0.020487264673311186,0.006644518272425249,0.006090808416389812,0.00636766334440753,0.010520487264673311,0.004429678848283499,0.0024916943521594683,0.0027685492801771874,0.0022148394241417496,0.001937984496124031,0.0016611295681063123,0.001937984496124031,0.0069213732004429675,0.0008305647840531562,0.0016611295681063123,0.0002768549280177187,0.0013842746400885937,0.001937984496124031,0.0,0.0013842746400885937,0.0002768549280177187,0.0005537098560354374,0.0002768549280177187,0.03765227021040975,3612.0,13125,0.2752
