municipality_name,ПП,ГЕРБ-СДС,ДПС,БСП,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,невалидни,НОД,ПФ,ВОЛЯ,РВО,ПРАВОТО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Гоце Делчев,1740,2228,2727,2061,717,328,365,155,130.0,114,55,40,38,34,4.0,31,24,11,9,32,17,7,6,4,2,3,3,1,1,0,27697.0,1,01. БЛАГОЕВГРАД,45,10887.0,0.3930750622811135,BLG11
Грамада,252,110,23,126,51,79,8,9,4.0,14,1,3,2,3,7.0,2,1,1,0,1,1,10,4,1,1,1,1,0,2,0,1396.0,5,05. ВИДИН,9,718.0,0.5143266475644699,VID15
Гулянци,449,590,70,713,370,44,85,213,29.0,55,24,19,18,11,22.0,15,17,10,7,6,16,7,2,2,2,7,0,2,2,0,9763.0,15,15. ПЛЕВЕН,21,2807.0,0.2875140837857216,PVN08
Гурково,218,141,168,212,152,40,50,27,10.0,15,14,9,6,14,2.0,8,5,8,7,4,4,1,1,2,1,3,1,1,3,0,4182.0,27,27. СТАРА ЗАГОРА,12,1127.0,0.2694882831181253,SZR37
Гълъбово,845,622,124,648,496,65,188,86,52.0,18,55,30,23,29,23.0,28,28,23,6,15,17,7,2,2,5,5,2,1,2,0,10011.0,27,27. СТАРА ЗАГОРА,25,3447.0,0.34432124662870844,SZR07
Гърмен,377,835,3729,250,595,89,70,89,44.0,48,11,7,18,20,13.0,46,9,4,7,7,14,7,1,2,2,2,2,3,0,0,13241.0,1,01. БЛАГОЕВГРАД,24,6301.0,0.4758704025375727,BLG13
Две могили,418,563,423,252,208,44,81,39,27.0,27,18,12,12,22,14.0,10,12,12,7,6,12,5,5,3,1,0,1,2,3,0,7731.0,19,19. РУСЕ,15,2239.0,0.28961324537575994,RSE08
Девин,588,1006,781,544,326,100,79,57,50.0,10,34,10,30,17,16.0,19,20,14,49,16,11,5,7,4,4,2,1,3,7,0,10581.0,22,22. СМОЛЯН,26,3810.0,0.36007938758151403,SML09
Девня,385,1012,38,163,278,29,105,65,34.0,45,19,13,21,20,5.0,17,18,17,8,12,7,2,3,5,0,3,4,1,1,0,7720.0,3,03. ВАРНА,11,2330.0,0.3018134715025907,VAR14
Джебел,101,546,4342,99,134,17,9,6,36.0,1,8,5,3,11,14.0,13,12,6,3,7,5,1,3,1,6,0,2,2,0,0,23076.0,9,09. КЪРДЖАЛИ,45,5393.0,0.23370601490726295,KRZ08
Димитровград,4531,4242,282,1768,1815,857,1233,390,249.0,73,108,93,65,76,60.0,93,66,65,59,50,34,37,21,15,9,12,8,8,9,0,46907.0,29,29. ХАСКОВО,93,16328.0,0.3480930351546678,HKV09
Димово,224,351,669,246,166,160,44,52,28.0,3,18,17,8,13,28.0,15,7,4,5,9,9,7,3,3,1,4,2,1,1,0,4915.0,5,05. ВИДИН,27,2098.0,0.4268565615462869,VID16
Добрич,8573,5831,744,3205,2839,1306,1723,649,339.0,415,185,111,151,169,24.0,119,122,94,74,89,71,39,29,17,18,12,16,7,8,0,82166.0,8,08. ДОБРИЧ,132,26979.0,0.32834749166321836,DOB28
