id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,МЕЧ,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ЕДИНЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ОБЩЕСТВО ЗА НОВА БГ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,невалидни,total_valid,total,eligible_voters,n_stations
51336,12.0,3.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,33.0,36.0,70,1
51343,23.0,1.0,0.0,9.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53.0,53.0,98,1
51353,7.0,57.0,4.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,80.0,83.0,259,1
51384,14.0,10.0,2.0,6.0,7.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,53.0,60.0,152,1
51398,41.0,1.0,4.0,11.0,10.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,81.0,87.0,206,1
51408,3.0,1.0,1.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.0,17.0,38,1
51442,2.0,49.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,55.0,57.0,118,1
51456,10.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,20.0,35,1
51473,5.0,112.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,126.0,135.0,678,1
51487,46.0,0.0,6.0,17.0,7.0,10.0,105.0,12.0,17.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,232.0,244.0,642,1
