id,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,ВОЛЯ И НФСБ,ВЪЗР,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,БСДД,ПРЯКА ДЕМОКРАЦИЯ,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,невалидни,total_valid,total,eligible_voters,n_stations
23114,10,1,2,86,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,101.0,101.0,244,1
23128,9,3,24,1,0,0,1,0,2,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,46.0,48.0,124,1
23159,59,26,36,2,10,9,6,2,5,2,5,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.0,4,170.0,174.0,304,1
23176,7,9,12,1,0,0,2,3,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,42.0,44.0,95,1
23193,62,25,95,61,0,12,7,1,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0,7,272.0,279.0,479,2
23217,96,78,60,1,16,15,9,16,12,3,3,0,1,2,3,3,0,0,0,0,0,0,1,0,1,0,1,2,3,0,0,0.0,2,326.0,328.0,578,1
23234,1238,151,48,635,26,4,4,71,21,3,15,13,4,0,1,1,2,2,0,0,0,1,1,0,2,1,0,0,2,0,0,0.0,112,2246.0,2358.0,3995,4
23251,393,124,135,8,47,47,29,28,13,14,19,1,1,8,8,2,9,1,1,2,1,0,0,1,1,0,4,1,0,0,0,0.0,25,898.0,923.0,1630,3
23282,78,26,46,1,1,11,9,3,8,3,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,5,196.0,201.0,570,1
23296,104,70,46,13,10,9,158,24,7,11,8,2,0,0,1,0,1,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0.0,9,470.0,479.0,795,1
23306,16,1,1,65,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,89.0,95.0,267,1
23323,18,2,7,2,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,35.0,35.0,35,1
23337,98,24,37,8,4,14,1,2,13,2,0,1,2,0,0,0,1,0,1,0,1,0,2,1,1,1,0,0,0,0,0,0.0,29,214.0,243.0,429,1
