person,personLabel,personDescription,dateOfBirth,placeOfBirth,placeOfBirthLabel,placeOfBirthLocation,dateOfDeath,placeOfDeath,placeOfDeathLabel,placeOfDeathLocation
http://www.wikidata.org/entity/Q3386891,Q3386891,,1742-08-17,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1824-01-19,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q3372536,Q3372536,,1897-12-17,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1975-01-16,http://www.wikidata.org/entity/Q90,Париж,Point(2.351388888 48.856944444)
http://www.wikidata.org/entity/Q3301606,Q3301606,,1905-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1979-01-01,http://www.wikidata.org/entity/Q1492,Барселона,Point(2.176944444 41.3825)
http://www.wikidata.org/entity/Q3299494,Андроник Калист,,,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),,http://www.wikidata.org/entity/Q84,Лондон,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q3296467,Мария Плита,,1915-11-26,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2006-03-04,http://www.wikidata.org/entity/Q1524,Атина,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q3277801,Нури Джонкер,турски офицер и политик,1882-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1937-01-11,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q3277602,Фуат Булджа,османски и турски офицер,1881-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1962-09-14,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q3241941,Q3241941,,1883-04-17,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1942-10-03,http://www.wikidata.org/entity/Q7341,Аушвиц,Point(19.2041 50.0262)
http://www.wikidata.org/entity/Q3201193,Q3201193,,1927-10-08,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1988-08-25,http://www.wikidata.org/entity/Q1524,Атина,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q3201180,Костас Хадзихристос,гръцки актьор,1921-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2001-10-03,http://www.wikidata.org/entity/Q41,Гърция,Point(23.0 38.5)
