municipality_name,ИТН,ГЕРБ-СДС,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,невалидни,РЕПУБЛИКАНЦИ ЗА БГ,НОД,ГЛАС НАРОДЕН,БНС,СВОБОДА,БТР,ЗАЕДНО,МИР,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Самоков,2519,3666,2785,1198,1386,467,493,248,211,160.0,70,34,107.0,12,14,18,46,19,23,13,14,10,7,16,3,0.0,30826.0,26,26. СОФИЯ област,68,13539.0,0.4392071627846623,SFO39
Самуил,92,245,62,167,3101,26,4,5,7,13.0,6,0,21.0,13,0,1,5,6,1,1,1,1,3,1,0,0.0,9076.0,18,18. РАЗГРАД,25,3782.0,0.41670339356544733,RAZ29
Сандански,3910,2951,2055,1206,79,683,3235,291,325,123.0,91,29,46.0,18,11,13,40,19,16,26,10,5,12,10,7,0.0,33427.0,1,01. БЛАГОЕВГРАД,74,15211.0,0.455051305830616,BLG40
Сапарева баня,816,859,409,106,12,127,120,56,36,26.0,15,11,2.0,24,14,1,3,10,1,1,2,3,1,5,0,0.0,6323.0,10,10. КЮСТЕНДИЛ,10,2660.0,0.42068638304602246,KNL41
Сатовча,726,920,435,94,3761,96,133,21,27,35.0,5,3,0.0,12,0,0,8,5,6,3,5,0,1,4,2,0.0,14667.0,1,01. БЛАГОЕВГРАД,26,6302.0,0.42967205290788846,BLG42
Свиленград,2924,1480,1595,565,133,516,81,230,163,72.0,42,21,41.0,14,6,6,17,15,11,10,6,10,10,3,0,0.0,18917.0,29,29. ХАСКОВО,43,7971.0,0.42136702436961465,HKV28
Свищов,3920,2223,1880,927,418,687,274,280,136,152.0,89,42,27.0,20,23,18,28,16,18,10,8,12,22,11,0,0.0,28947.0,4,04. ВЕЛИКО ТЪРНОВО,52,11241.0,0.3883303969323246,VTR28
Своге,1384,1879,1133,502,742,252,123,140,127,113.0,46,12,44.0,33,15,19,9,15,19,9,7,5,5,6,3,0.0,16757.0,26,26. СОФИЯ област,42,6642.0,0.3963716655725965,SFO43
Севлиево,3127,3298,1582,768,1159,515,408,328,161,155.0,70,53,57.0,34,9,35,49,20,19,18,8,25,18,7,0,0.0,31472.0,7,07. ГАБРОВО,70,11923.0,0.37884468734112864,GAB29
Септември,1695,2018,1518,279,284,222,174,125,142,75.0,51,24,4.0,121,17,3,22,31,11,7,10,3,11,3,0,0.0,21553.0,13,13. ПАЗАРДЖИК,31,6850.0,0.3178211849858488,PAZ29
Силистра,5733,4853,3272,1865,1304,702,589,487,291,228.0,99,62,52.0,84,25,17,49,27,32,35,15,22,13,16,11,0.0,47699.0,20,20. СИЛИСТРА,94,19883.0,0.416843120400847,SLS31
Симеоновград,578,1181,519,82,81,100,28,45,29,22.0,18,14,29.0,7,2,2,13,12,8,6,4,0,8,3,0,0.0,6886.0,29,29. ХАСКОВО,16,2791.0,0.40531513215219284,HKV29
Симитли,1000,4998,344,238,114,141,64,85,52,58.0,17,5,7.0,3,4,2,10,3,12,4,9,0,5,2,4,0.0,11770.0,1,01. БЛАГОЕВГРАД,28,7181.0,0.6101104502973662,BLG44
Ситово,325,337,288,34,1017,50,22,12,17,17.0,17,1,9.0,23,1,0,3,3,3,3,2,1,1,4,1,0.0,5108.0,20,20. СИЛИСТРА,14,2191.0,0.42893500391542677,SLS32
Сливен,9906,9185,5836,3441,1025,2452,1245,1186,565,399.0,208,114,91.0,111,105,32,75,132,56,48,78,39,60,32,0,0.0,108436.0,21,21. СЛИВЕН,187,36421.0,0.33587553948873067,SLV20
Сливница,809,943,461,279,67,160,71,58,69,53.0,18,3,7.0,37,4,2,3,6,2,6,4,3,3,2,1,0.0,7374.0,26,26. СОФИЯ област,17,3071.0,0.41646324925413614,SFO45
Сливо поле,558,987,449,94,733,103,52,38,28,41.0,17,17,2.0,24,9,3,7,2,6,5,7,2,5,0,0,0.0,10249.0,19,19. РУСЕ,17,3189.0,0.31115230754219925,RSE33
Смолян,3918,4003,2434,1463,650,788,236,280,225,274.0,59,42,70.0,11,25,22,24,21,16,12,10,16,15,13,0,0.0,33457.0,22,22. СМОЛЯН,89,14627.0,0.43718803239979676,SML31
Смядово,374,738,270,39,164,76,70,35,12,26.0,16,4,27.0,31,2,2,5,6,3,3,8,2,7,1,0,0.0,5531.0,30,30. ШУМЕН,14,1921.0,0.34731513288736215,SHU25
Созопол,1010,1092,1557,622,131,242,155,142,106,67.0,12,27,14.0,12,10,6,10,9,6,9,20,5,8,6,4,0.0,11305.0,2,02. БУРГАС,21,5282.0,0.4672268907563025,BGS21
Сопот,1213,621,695,283,69,273,136,127,63,50.0,28,14,0.0,36,5,10,12,9,3,2,2,3,3,3,2,0.0,8853.0,17,17. ПЛОВДИВ област,12,3662.0,0.413645092059189,PDV43
Средец,986,1234,913,176,70,266,233,74,40,43.0,20,33,49.0,24,45,6,7,4,5,3,6,6,12,3,3,0.0,11246.0,2,02. БУРГАС,39,4261.0,0.37889027209674553,BGS06
Стамболийски,1546,1970,1161,591,21,226,117,234,108,69.0,38,30,5.0,33,7,9,20,20,5,14,6,9,4,5,3,0.0,17714.0,17,17. ПЛОВДИВ област,26,6251.0,0.3528847239471604,PDV41
Стамболово,177,175,145,56,3583,45,12,12,3,18.0,8,4,13.0,0,1,1,1,3,2,2,3,0,2,0,0,0.0,12316.0,29,29. ХАСКОВО,30,4266.0,0.34637869438129265,HKV30
Стара Загора,17141,14490,8403,6925,896,4056,2717,2580,983,812.0,319,291,128.0,251,196,91,68,67,83,74,48,61,46,46,33,0.0,139048.0,27,27. СТАРА ЗАГОРА,208,60805.0,0.4372950348081238,SZR31
Столична,95423,109987,55421,133897,2688,27092,13423,15947,12595,8279.0,1927,2127,170.0,616,2638,1481,605,513,499,568,694,978,478,263,138,142.0,1166967.0,23,23. СОФИЯ 23 МИР,1636,488589.0,0.41868279051592716,SOF46
Стражица,908,723,1548,117,396,89,49,46,21,38.0,19,11,20.0,4,0,7,20,30,9,4,3,1,9,3,0,0.0,10580.0,4,04. ВЕЛИКО ТЪРНОВО,24,4075.0,0.3851606805293006,VTR31
Стралджа,703,1076,889,180,95,197,76,63,50,33.0,55,4,49.0,24,12,4,6,11,10,3,3,1,10,6,0,0.0,9648.0,31,31. ЯМБОЛ,30,3560.0,0.36898839137645106,JAM22
Стрелча,491,411,306,85,182,75,37,44,33,18.0,7,9,17.0,3,1,1,6,3,1,2,2,1,0,1,0,0.0,4103.0,13,13. ПАЗАРДЖИК,9,1736.0,0.4231050450889593,PAZ32
Струмяни,339,471,306,53,4,123,116,23,29,8.0,7,2,18.0,4,2,1,6,5,1,1,0,0,0,4,4,0.0,4224.0,1,01. БЛАГОЕВГРАД,17,1527.0,0.3615056818181818,BLG49
