id,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,невалидни,total_valid,total,eligible_voters,n_stations
2628,1,2,13,0,2,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.0,19.0,22.0,1
2659,1826,946,45,479,319,484,200,125,183.0,41,33,22,14,12,11,20,5,8,15,7,6,4,8,3,1,2,1,0,2,5.0,2.0,4827.0,4829.0,9510.0,16
2662,27,22,1,11,13,0,2,3,1.0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85.0,85.0,111.0,1
2676,1179,690,31,355,404,167,211,130,219.0,29,30,16,10,6,8,5,7,9,5,6,7,7,9,4,2,0,2,2,6,0.0,0.0,3556.0,3556.0,7674.0,13
2693,233,145,282,93,208,47,42,44,35.0,8,5,3,6,1,4,1,12,2,0,3,4,1,1,1,0,0,2,1,1,0.0,0.0,1185.0,1185.0,2329.0,3
2703,23,13,3,10,10,14,7,1,3.0,3,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,95.0,96.0,158.0,1
2717,62,35,3,29,31,10,6,7,5.0,3,2,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,199.0,199.0,549.0,1
2720,229,156,7,132,140,27,32,34,38.0,7,8,4,4,2,1,1,1,4,3,1,3,0,2,2,0,2,0,0,2,0.0,5.0,842.0,847.0,2898.0,5
2734,73,9,188,7,20,5,2,9,1.0,2,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0.0,3.0,322.0,325.0,1308.0,3
2748,33,18,8,4,6,8,5,3,3.0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3.0,93.0,96.0,223.0,1
2751,2,1,90,1,1,6,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,1.0,105.0,106.0,234.0,1
2765,7,3,4,8,18,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,43.0,47.0,168.0,1
2779,240,74,53,20,62,8,11,26,8.0,2,0,2,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,512.0,512.0,1449.0,2
2782,12,4,15,2,6,2,1,2,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,50.0,50.0,111.0,1
2796,106,106,2,60,37,18,20,26,22.0,2,4,1,4,3,2,1,2,5,1,0,0,1,0,2,0,2,0,0,0,0.0,0.0,427.0,427.0,1112.0,2
2806,29,2,0,3,7,1,1,2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,48.0,48.0,126.0,1
2810,157,26,22,17,25,5,1,6,0.0,1,2,1,2,0,1,1,1,1,3,0,0,0,2,1,0,0,0,0,0,0.0,0.0,275.0,275.0,917.0,2
2823,24,10,44,4,20,2,4,2,5.0,0,0,0,2,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0.0,0.0,124.0,124.0,660.0,1
2837,286,162,109,95,111,36,56,40,58.0,5,18,2,11,1,3,2,2,2,3,1,2,0,4,2,4,0,3,0,1,0.0,0.0,1019.0,1019.0,2478.0,5
2854,37,33,76,5,4,2,0,1,1.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,162.0,162.0,484.0,1
2868,31,32,48,19,14,2,6,2,1.0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,160.0,160.0,523.0,1
2871,24,16,8,24,26,2,2,3,2.0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,114.0,114.0,576.0,1
