id,ЗАЕДНО,СВОБОДА,БНС,БСП,ГЕРБ-СДС,АТАКА,ДПС,МУТРИ ВЪН!,МИР,БТР,ВЪЗР,ПОДЕМ,БРИГАДА,ПРЯКА ДЕМОКРАЦИЯ,БЪЛГАРСКО ЛЯТО,"ВМРО, ВОЛЯ И НФСБ",ЛЯВ СЪЮЗ,Партия на ЗЕЛЕНИТЕ,НОД,ГЛАС НАРОДЕН,РЕПУБЛИКАНЦИ ЗА БГ,ИТН,ДБ,независими,не подкрепям никого,total,eligible_voters,активност
11003,0.0,0.0,0.0,0.32432432432432434,0.16216216216216217,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.35135135135135137,0.0,0.0,0.0,37.0,89.0,0.4157303370786517
11020,0.0,0.013333333333333334,0.013333333333333334,0.41333333333333333,0.22666666666666666,0.0,0.013333333333333334,0.006666666666666667,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.19333333333333333,0.05333333333333334,0.0,0.04,150.0,259.0,0.5791505791505791
11048,0.0,0.0,0.015151515151515152,0.3939393939393939,0.25,0.0,0.06060606060606061,0.03787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.19696969696969696,0.022727272727272728,0.0,0.015151515151515152,132.0,336.0,0.39285714285714285
11051,0.0,0.0,0.0,0.16,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,25.0,24.0,1.0416666666666667
11079,0.0,0.003787878787878788,0.0,0.18181818181818182,0.42045454545454547,0.003787878787878788,0.015151515151515152,0.01893939393939394,0.0,0.0,0.026515151515151516,0.0,0.0,0.0,0.007575757575757576,0.011363636363636364,0.0,0.0,0.0,0.0,0.003787878787878788,0.21212121212121213,0.07575757575757576,0.0,0.01893939393939394,264.0,503.0,0.5248508946322068
11082,0.0,0.0,0.0,0.34579439252336447,0.14953271028037382,0.0,0.0,0.06542056074766354,0.0,0.0,0.028037383177570093,0.0,0.0,0.0,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.0,0.009345794392523364,0.0,0.0,0.22429906542056074,0.09345794392523364,0.0,0.0,107.0,168.0,0.6369047619047619
11096,0.0,0.013333333333333334,0.0,0.13333333333333333,0.36666666666666664,0.02666666666666667,0.04666666666666667,0.09333333333333334,0.006666666666666667,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.02666666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.22,0.04,0.0,0.0,150.0,736.0,0.20380434782608695
11106,0.0,0.0,0.0,0.014336917562724014,0.0,0.0,0.9713261648745519,0.0035842293906810036,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,279.0,492.0,0.5670731707317073
11123,0.0,0.0,0.013245033112582781,0.25165562913907286,0.2052980132450331,0.013245033112582781,0.033112582781456956,0.039735099337748346,0.0,0.006622516556291391,0.006622516556291391,0.0,0.0,0.006622516556291391,0.059602649006622516,0.046357615894039736,0.0,0.0,0.0,0.013245033112582781,0.0,0.271523178807947,0.019867549668874173,0.0,0.013245033112582781,151.0,972.0,0.15534979423868311
11137,0.0,0.0,0.0,0.1651376146788991,0.46788990825688076,0.01834862385321101,0.045871559633027525,0.045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.01834862385321101,0.03669724770642202,0.0,0.0,0.0,0.0,0.0,0.1834862385321101,0.01834862385321101,0.0,0.0,109.0,215.0,0.5069767441860465
11140,0.0,0.0,0.0,0.5497076023391813,0.09941520467836257,0.0,0.11695906432748537,0.017543859649122806,0.0,0.005847953216374269,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.005847953216374269,0.1871345029239766,0.005847953216374269,0.0,0.0,171.0,578.0,0.2958477508650519
11154,0.0023148148148148147,0.0,0.004629629629629629,0.3055555555555556,0.36342592592592593,0.0023148148148148147,0.0023148148148148147,0.020833333333333332,0.0023148148148148147,0.0023148148148148147,0.011574074074074073,0.0,0.0,0.004629629629629629,0.023148148148148147,0.03009259259259259,0.004629629629629629,0.0,0.0,0.0,0.0023148148148148147,0.18287037037037038,0.02546296296296296,0.0,0.009259259259259259,432.0,1136.0,0.38028169014084506
