municipality_name,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,не подкрепям никого,невалидни,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Върбица,226.0,3343.0,24.0,49.0,84.0,38.0,16.0,15.0,18.0,79,3.0,0.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,18.0,3.0,2.0,2.0,2.0,4.0,10878,30,30. ШУМЕН,23,3953.0,0.3633940062511491,SHU10
Вършец,785.0,445.0,269.0,241.0,173.0,116.0,35.0,50.0,62.0,71,21.0,9.0,11.0,14.0,8.0,6.0,5.0,6.0,6.0,2.0,1.0,4.0,6.0,1.0,3.0,2.0,2.0,5.0,3.0,7.0,3.0,2.0,2.0,6135,12,12. МОНТАНА,17,2376.0,0.38728606356968215,MON12
Габрово,5443.0,246.0,1841.0,2896.0,1092.0,1114.0,1023.0,509.0,501.0,272,221.0,231.0,153.0,135.0,186.0,85.0,68.0,66.0,48.0,49.0,61.0,48.0,35.0,17.0,18.0,17.0,23.0,11.0,14.0,18.0,14.0,23.0,4.0,54019,7,07. ГАБРОВО,121,16482.0,0.30511486699124385,GAB05
Генерал Тошево,593.0,435.0,209.0,504.0,612.0,217.0,117.0,121.0,70.0,128,26.0,26.0,56.0,19.0,21.0,22.0,8.0,10.0,10.0,8.0,9.0,2.0,7.0,6.0,3.0,5.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,12269,8,08. ДОБРИЧ,45,3260.0,0.2657103268400033,DOB12
Георги Дамяново,463.0,54.0,73.0,130.0,102.0,43.0,17.0,23.0,35.0,44,0.0,20.0,1.0,2.0,0.0,11.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1797,12,12. МОНТАНА,14,1041.0,0.5792988313856428,MON14
Главиница,493.0,3327.0,108.0,148.0,125.0,70.0,41.0,45.0,72.0,156,4.0,12.0,7.0,12.0,4.0,3.0,9.0,6.0,1.0,6.0,6.0,0.0,3.0,5.0,3.0,3.0,1.0,8.0,1.0,4.0,2.0,2.0,2.0,11034,20,20. СИЛИСТРА,27,4689.0,0.42495921696574224,SLS07
Годеч,652.0,77.0,96.0,151.0,109.0,63.0,40.0,31.0,62.0,56,12.0,19.0,25.0,16.0,10.0,4.0,1.0,3.0,3.0,10.0,5.0,4.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,4135,26,26. СОФИЯ област,11,1462.0,0.3535671100362757,SFO09
Горна Малина,410.0,68.0,120.0,227.0,265.0,88.0,52.0,45.0,64.0,37,24.0,24.0,61.0,23.0,9.0,5.0,22.0,3.0,6.0,5.0,6.0,5.0,5.0,2.0,0.0,2.0,2.0,1.0,4.0,1.0,2.0,0.0,1.0,4516,26,26. СОФИЯ област,15,1589.0,0.3518600531443756,SFO10
Горна Оряховица,2891.0,691.0,1189.0,1973.0,1010.0,822.0,745.0,312.0,346.0,280,78.0,152.0,104.0,186.0,103.0,63.0,38.0,43.0,29.0,37.0,66.0,30.0,26.0,9.0,11.0,15.0,11.0,15.0,9.0,15.0,8.0,6.0,8.0,39102,4,04. ВЕЛИКО ТЪРНОВО,67,11321.0,0.2895248324893867,VTR06
Гоце Делчев,2115.0,2673.0,634.0,818.0,2414.0,263.0,264.0,176.0,263.0,364,58.0,52.0,284.0,108.0,43.0,25.0,10.0,21.0,10.0,16.0,11.0,7.0,13.0,9.0,27.0,5.0,7.0,6.0,11.0,2.0,8.0,5.0,0.0,28294,1,01. БЛАГОЕВГРАД,43,10722.0,0.37894960062204003,BLG11
