municipality_name,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,невалидни,АТАКА (к.),ЗАЕДНО,НП ИСИ,КОД,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Криводол,728,383,267,344,323,69.0,67,619,28,68,19,8,5,1,1,5,2,4,2,2,2,0,0.0,1,6794,6,06. ВРАЦА,20,2948.0,0.43391227553723877,VRC21
Кричим,418,311,264,278,159,80.0,77,36,33,41,8,4,2,3,5,1,2,1,2,0,1,2,0.0,0,7139,17,17. ПЛОВДИВ област,10,1728.0,0.24205070738198628,PDV39
Крумовград,610,475,164,7395,358,132.0,76,64,34,122,6,7,12,6,2,6,2,3,11,6,4,2,0.0,0,33135,9,09. КЪРДЖАЛИ,85,9497.0,0.286615361400332,KRZ15
Крушари,179,98,67,1006,73,19.0,21,25,12,30,0,0,0,2,2,1,0,0,3,5,0,1,0.0,0,5025,8,08. ДОБРИЧ,17,1544.0,0.3072636815920398,DOB20
Кубрат,957,824,347,3073,351,167.0,103,233,56,151,7,11,20,4,4,11,2,3,7,5,4,4,0.0,4,18072,18,18. РАЗГРАД,40,6348.0,0.351261620185923,RAZ16
Куклен,469,339,218,759,215,103.0,52,76,23,52,6,8,10,5,4,0,0,2,0,0,2,1,0.0,0,6239,17,17. ПЛОВДИВ област,14,2344.0,0.37570123417214296,PDV42
Кула,626,251,90,107,111,60.0,52,81,22,32,5,0,2,1,2,5,2,0,3,1,1,1,0.0,1,3361,5,05. ВИДИН,13,1456.0,0.43320440345135375,VID22
Кърджали,3439,3423,1630,12828,1351,890.0,381,380,257,573,36,33,40,24,53,34,14,29,33,20,21,20,0.0,3,99142,9,09. КЪРДЖАЛИ,168,25512.0,0.2573278731516411,KRZ16
Кюстендил,6857,4108,2579,248,2246,856.0,797,398,612,279,87,57,74,42,35,57,46,24,66,19,16,18,0.0,7,66005,10,10. КЮСТЕНДИЛ,113,19528.0,0.295856374517082,KNL29
Левски,1257,926,750,305,838,160.0,216,134,246,102,24,21,15,7,7,16,2,3,5,5,3,7,0.0,1,16665,15,15. ПЛЕВЕН,33,5050.0,0.30303030303030304,PVN16
