id,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,АТАКА (к.),ЗАЕДНО,КОД,НП ИСИ,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,невалидни,total_valid,total,eligible_voters,n_stations
2155,3,2,0,126,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,133.0,133.0,415,1
2172,4,4,4,1,6,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,24.0,24.0,31,1
2227,20,16,8,8,21,0.0,7,1,47,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,7,130.0,137.0,315,1
2230,15,8,7,1,9,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,42.0,43.0,55,1
2244,2,69,1,6,1,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,81.0,83.0,394,1
2258,32,16,9,0,19,4.0,2,3,6,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0,4,94.0,98.0,222,1
2261,8,2,1,49,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,62.0,63.0,130,1
2292,18,8,3,52,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,85.0,88.0,296,1
2302,13,8,3,1,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,33.0,34.0,60,1
2350,51,32,15,1,19,3.0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,3,135.0,138.0,231,1
2364,42,21,21,22,27,11.0,5,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,9,160.0,169.0,390,1
2381,30,11,5,3,14,2.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,70.0,72.0,153,1
2395,83,19,3,19,31,5.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,2,165.0,167.0,270,1
2405,54,14,3,48,3,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,4,126.0,130.0,381,1
2436,1,3,2,130,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,140.0,140.0,358,1
2448,20,13,9,3,19,9.0,1,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0,3,85.0,88.0,172,1
2467,22,17,8,1,14,0.0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0,3,66.0,69.0,143,1
2470,22,6,7,1,11,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,2,52.0,54.0,84,1
2484,5,1,3,1,15,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,30.0,33.0,46,1
2508,637,640,609,345,269,119.0,151,116,82,15,9,7,16,7,10,8,2,2,1,2,1,0.0,0,49,3048.0,3097.0,10593,16
2511,119,45,44,1,21,15.0,13,12,10,0,0,4,0,0,0,0,1,0,0,0,0,0.0,0,2,285.0,287.0,573,1
2542,10,7,2,1,3,2.0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,29.0,29.0,34,1
2587,62,22,10,7,21,5.0,0,2,5,0,0,0,0,0,1,1,0,0,0,0,0,0.0,1,9,137.0,146.0,942,1
2590,68,29,15,26,37,2.0,15,17,2,2,0,0,0,3,0,1,1,0,0,0,1,0.0,0,7,219.0,226.0,916,2
2600,42,23,20,0,70,5.0,5,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0,2,170.0,172.0,471,1
2614,11,7,2,1,2,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,27.0,27.0,37,1
2628,1,2,3,11,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,19.0,19.0,22,1
2659,1789,1287,636,34,286,225.0,158,137,89,15,13,14,11,22,14,24,5,5,2,2,4,0.0,2,68,4774.0,4842.0,9592,16
2662,26,18,23,1,11,1.0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,87.0,87.0,114,1
2676,1280,748,509,16,546,236.0,190,84,82,12,6,2,24,2,4,0,3,0,3,3,2,0.0,0,40,3752.0,3792.0,7472,13
2693,241,168,123,402,115,35.0,44,41,15,2,2,1,15,2,1,2,0,2,0,1,0,0.0,0,30,1212.0,1242.0,2340,3
2703,25,23,21,2,9,1.0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,3,87.0,90.0,148,1
2717,66,39,44,0,28,5.0,6,2,7,3,0,0,0,0,0,1,0,1,0,1,0,0.0,0,3,203.0,206.0,549,1
2720,258,192,165,12,144,68.0,57,18,28,9,1,0,2,1,1,2,4,0,0,1,0,0.0,0,20,963.0,983.0,2916,5
2734,77,18,12,156,21,3.0,4,3,9,0,1,1,0,2,0,0,0,0,0,0,1,0.0,0,5,308.0,313.0,1313,3
2748,43,16,10,3,6,6.0,6,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0,4,98.0,102.0,226,1
2751,6,4,0,98,2,0.0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,114.0,117.0,232,1
2765,3,4,8,2,18,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,41.0,45.0,172,1
2779,249,146,23,78,28,13.0,15,7,1,0,1,0,2,0,0,1,0,1,0,0,1,0.0,0,9,566.0,575.0,1429,2
2782,11,8,5,11,3,1.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,45.0,46.0,116,1
2796,118,124,79,1,35,25.0,27,17,9,2,3,1,0,3,6,2,1,0,0,0,0,0.0,0,6,453.0,459.0,1108,2
2806,32,4,6,0,6,0.0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,4,53.0,57.0,124,1
2810,144,35,12,21,24,3.0,10,3,1,2,0,0,5,0,1,0,0,0,0,1,0,0.0,0,14,262.0,276.0,928,2
2823,30,15,8,78,21,7.0,1,1,5,0,0,1,0,0,0,0,0,0,1,1,0,0.0,0,16,169.0,185.0,656,1
2837,350,165,170,168,87,44.0,51,36,19,6,4,1,4,0,5,4,2,2,0,0,0,0.0,0,7,1118.0,1125.0,2496,6
2854,45,30,2,77,12,3.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,10,174.0,184.0,481,1
2868,39,29,22,86,12,0.0,4,5,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0,0,6,201.0,207.0,527,1
2871,31,14,21,41,55,4.0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,3,171.0,174.0,566,1
2885,86,30,14,3,9,3.0,8,3,2,0,1,0,0,1,0,1,0,0,0,0,1,0.0,0,12,162.0,174.0,702,1
2899,14,8,6,26,5,4.0,1,1,4,0,0,0,1,2,0,0,0,0,0,0,0,0.0,0,0,72.0,72.0,121,1
2909,21,6,4,4,13,1.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,53.0,54.0,102,1
2912,39,13,5,24,18,2.0,4,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,3,113.0,116.0,242,1
2935,94,36,42,8,36,7.0,13,8,3,0,17,0,0,0,1,2,0,0,0,1,0,0.0,0,5,268.0,273.0,783,1
2957,23,11,10,111,27,1.0,5,4,3,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,2,198.0,200.0,370,1
2960,223,129,56,10,104,29.0,21,5,12,0,2,0,2,0,0,0,0,0,0,0,0,0.0,0,10,593.0,603.0,1308,2
2974,63,19,15,1,19,10.0,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,147.0,147.0,267,1
2988,13,6,4,3,8,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,35.0,36.0,73,1
2991,2,1,0,184,2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,190.0,190.0,538,1
3006,4,5,0,108,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,119.0,124.0,422,1
3017,25,3,3,59,1,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,2,94.0,96.0,168,1
3023,6,5,7,2,2,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,25.0,25.0,39,1
3037,22,8,13,220,10,5.0,4,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0.0,1,4,290.0,294.0,819,1
3040,13,4,2,0,10,1.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,34.0,34.0,43,1
3054,63,16,7,34,10,4.0,4,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0.0,0,2,146.0,148.0,281,1
3068,93,42,13,4,12,4.0,9,7,7,1,0,1,0,5,1,0,0,0,0,1,0,0.0,0,5,200.0,205.0,511,1
3085,31,11,18,45,35,2.0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0,1,146.0,147.0,585,1
3099,29,9,7,1,8,2.0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0.0,0,1,63.0,64.0,103,1
3109,42,16,16,1,45,9.0,3,8,4,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,1,146.0,147.0,412,1
3112,39,17,8,26,10,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,3,109.0,112.0,290,1
3143,59,24,25,27,26,2.0,13,2,2,0,0,1,1,0,1,1,0,0,0,0,0,0.0,0,24,184.0,208.0,920,2
3157,2,2,3,1,7,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,18.0,19.0,39,1
